id;name;category;duration_min;difficulty;physical_intensity;requires_morning;requires_silence;max_completions_per_day;habit_min_streak_days;habit_min_score;steps;contraindications;benefits;tags
1;Алмаз в розе;yoga;2;1;low;false;true;1;14;70;Сядь с прямой спиной и скрещёнными ногами | Закрой глаза и представь красную розу в центре груди | Внутри розы увидь сияющий алмаз | Пой мантру «Ом мани падме хум» 10 раз | Почувствуй тепло и расслабление в области сердца;none;Разогревает и расслабляет сердце, ослабляет эмоциональные зажимы в груди, готовит к более глубоким практикам.;visualization,mantra,heart,warmth,beginner
2;Совершенная десятка;yoga;2;1;low;false;true;1;21;70;Сядь с прямой спиной и скрещёнными ногами | Закрой глаза | Сделай 10 циклов дыхания через нос | Считай каждый вдох-выдох как один цикл | Если отвлёкся, мягко начни счёт заново;none;Успокаивает ум перед практикой, развивает базовую концентрацию, учит возвращать внимание без самокритики.;focus,breath,concentration,beginner,calmness
3;Разгоняем тьму;yoga;3;2;low;false;true;1;14;70;Сядь удобно с прямой спиной | Представь человека, который страдает | На вдохе визуализируй, как вдыхаешь его боль в виде чёрного облака | Облако входит в алмаз в твоём сердце и растворяется | На выдохе посылай ему свет и облегчение;none;Развивает сострадание и эмпатию, сеет семена заботы о других, помогает выйти за пределы собственных переживаний.;compassion,visualization,heart,empathy,advanced
4;Даруем вместе с солнцем;yoga;5;2;medium;true;false;1;14;70;Встань в позу горы | Выполни 3-5 кругов Поклона солнцу | На каждом выдохе мысленно посвящай движение щедрости | В прогибах раскрывай грудь и думай о том, что можешь отдать | Завершай в позе горы с несколькими спокойными дыханиями;back_pain,high_pressure,vertigo;Раскрывает область сердца, развивает щедрость и умение отдавать, разогревает всё тело и улучшает гибкость позвоночника.;generosity,flow,heart_opening,movement,intention
5;Доброта с запада;yoga;4;2;low;false;false;1;14;70;Сядь на пол, ноги вытянуты вперёд | На вдохе вытяни спину вверх | На выдохе мягко наклонись вперёд настолько, насколько комфортно | Сделай мягкую скрутку вправо, затем влево | Дыши спокойно 5-7 циклов в каждом положении | Выходи плавно на вдохе;knee_pain,back_pain;Мягко вытягивает спину и бёдра, развивает доброту к себе через бережное отношение к телу, помогает развязать узлы в пояснице.;kindness,stretching,gentleness,flexibility,self-care
6;Царь Терпения;yoga;4;3;medium;false;false;1;14;70;Сядь в позу Царя рыб: одна нога согнута, стопа у бедра | Вторую ногу перенеси через первую | На вдохе вытяни спину | На выдохе скрутись в сторону согнутой ноги | Держи 5-7 дыханий | Повтори на другую сторону | Завершай тибетской позой Крюк;knee_pain,back_pain;Тренирует терпение через удержание непростых поз, освобождает узлы в бёдрах и шее, развивает способность не впадать в гнев при дискомфорте.;patience,twists,hips,neck,discipline
7;Лук и Стрела радости;yoga;3;3;medium;false;false;1;14;70;Ляг на живот | Согни ноги и возьмись руками за лодыжки | На вдохе подними грудь и бёдра (поза Лука) | Держи 3-5 дыханий | Опустись и отдохни | Встань на колени и выполни позу Льва: высунь язык, выдохни со звуком «ха»;back_pain,neck_pain,high_pressure;Раскрывает область сердца, развивает радостные усилия, снимает напряжение с лица и челюсти, улучшает настроение.;joy,backbend,energy,heart_opening,release
8;Безмолвие с небес;yoga;3;3;medium;false;false;1;14;70;Встань на четвереньки | Подними таз в позу Собаки мордой вниз | Держи 5 дыханий | Аккуратно перейди в стойку на плечах у стены (или позу Плуга) | Держи 5-7 дыханий | Плавно выйди через округление спины | Ляг в Шавасану на 1 минуту;neck_pain,high_pressure,vertigo,glaucoma;Развивает спокойствие и концентрацию, очищает синусы, раскрывает шею, улучшает кровообращение в голове.;calmness,inversions,focus,circulation,silence
9;Смерть неведения;yoga;4;1;low;false;true;1;14;70;Ляг на спину, ноги чуть шире плеч, руки вдоль тела ладонями вверх | Закрой глаза | Мягко встряхни руками и ногами 10 секунд | Полностью расслабься | Наблюдай дыхание без попыток его контролировать | Оставайся неподвижно 3-4 минуты | Медленно пошевели пальцами и открой глаза;none;Глубоко расслабляет тело и ум, развивает мудрость через отпускание контроля, помогает интегрировать результаты практики.;relaxation,integration,wisdom,release,rest
10;Йога на весь день;yoga;30;2;low;false;false;3;21;70;В течение дня держи спину прямой | Делай медленные выдохи в стрессовых ситуациях | При встрече с людьми мысленно принимай их напряжение и дари спокойствие | Двигайся мягко и осознанно | Замечай своё настроение и работай с ним через дыхание;none;Превращает весь день в практику осознанности, поддерживает энергию и ясность, развивает сострадание в реальных ситуациях.;mindfulness,daily_practice,compassion,posture,breath
11;Дарование-принятие (gtong-len);meditation;10;3;low;false;true;1;14;70;Сядь с прямой спиной | Закрой глаза и представь алмаз в сердце | Выбери человека, который страдает | На вдохе визуализируй, как вдыхаешь его страдание в виде чёрного облака | Облако растворяется в алмазе | На выдохе посылай ему счастье в виде белого света | Повторяй 10 минут;none;Развивает глубокое сострадание, тренирует способность принимать чужую боль без страха, сеет семена собственного счастья через заботу о других.;compassion,visualization,tonglen,heart,empathy
12;Медитация для ясности и спокойствия;meditation;10;1;low;false;true;1;14;70;Выбери одно и то же время каждый день | Сядь удобно с прямой спиной | Закрой глаза | Наблюдай дыхание, не меняя его | Когда приходят мысли, просто замечай их и возвращайся к дыханию | Продолжай 10 минут;none;Развивает спокойствие и ясность ума, помогает легче решать проблемы, создаёт стабильную основу для дня.;calmness,clarity,breath,focus,daily_practice
13;Пять этических норм;ethics;5;1;low;false;false;1;14;70;Вечером возьми блокнот | Вспомни день и найди один момент, когда следовал этическим нормам | Запиши конкретную ситуацию: берёг жизнь, уважал имущество, был честен, избегал стимуляторов или сохранял верность в отношениях | Отметь, как это повлияло на тебя и других;none;Развивает чистоту сознания, усиливает осознанность в действиях, создаёт привычку замечать хорошее в своём поведении.;ethics,reflection,integrity,awareness,evening
14;Служение другим;ethics;15;2;low;false;false;1;14;70;Выбери одного человека | Сделай для него одно хорошее дело сегодня | Это может быть помощь, поддержка, подарок или просто внимание | Делай искренне, без ожидания благодарности | Вечером запиши, что сделал и как себя чувствуешь;none;Приносит глубокое удовлетворение, сажает семена будущего успеха, развивает щедрость и выводит фокус за пределы собственных проблем.;service,generosity,kindness,action,fulfillment
15;Политика дополуденного часа;daily;180;3;medium;true;false;1;14;60;Проснись до 7 утра | Выпей травяной чай | Сделай 10 минут медитации | Выполни 20-30 минут йоги | Выпей свежий сок | Час посвяти учёбе без компьютера (книга, записи) | Сделай одно действие служения другому человеку | Всё это до 13:00;none;Создаёт мощный фундамент для продуктивного дня, наполняет энергией, развивает дисциплину и ясность ума на весь день.;morning,routine,discipline,energy,foundation
16;Молчаливое созерцание;reflection;20;2;low;false;true;1;14;70;Найди тихое место | Сядь спокойно с блокнотом | Задай себе вопрос о текущей цели или проекте | Сиди в тишине и слушай ответы, которые приходят | Записывай всё, что возникает, без оценки | Продолжай 20 минут;none;Развивает ясность намерений, помогает услышать внутреннюю мудрость, проясняет направление в проектах и жизни.;clarity,silence,intention,wisdom,journaling
17;Работа с проблемами;reflection;15;2;low;false;false;1;14;70;Возьми блокнот и запиши 3 актуальные проблемы | Для каждой определи, какие твои действия её создали | Напиши три конкретных шага прекращения этих действий | Выбери одно противоположное действие и начни делать его сегодня | Запиши план;none;Помогает увидеть кармические причины проблем, даёт конкретные шаги для изменений, развивает ответственность за свою жизнь.;problems,karma,responsibility,action,clarity
18;Определение кармических партнёров;reflection;15;2;low;false;false;1;14;70;Возьми лист и раздели на 4 части: Источник, Союзник, Подопечный, Мир | В каждой части напиши по одному человеку | Для каждого опиши конкретно, как будет выглядеть его успех | Запиши одно действие, которое поможешь сделать каждому на этой неделе;none;Проясняет круг важных людей, создаёт фокус на помощи другим, сажает семена собственного успеха через успех партнёров.;partners,relationships,success,clarity,karma
19;Три самых успешных события;reflection;10;1;low;false;false;1;14;70;Вспомни три самых успешных события в твоей жизни | Запиши их | Для каждого припомни, кому ты помогал добиться подобного успеха до этого | Найди связь между твоей помощью другим и твоим успехом | Запиши выводы;none;Помогает увидеть кармическую связь между помощью другим и собственным успехом, усиливает мотивацию служить, развивает благодарность.;success,karma,gratitude,reflection,connection
20;Ежедневная зарядка действий;daily;10;2;low;true;false;1;21;70;Каждое утро открывай блокнот | Запиши имена четырёх партнёров: Источник, Союзник, Подопечный, Мир | Для каждого напиши одно небольшое конкретное действие на сегодня | Действие должно быть честным вкладом в их успех | Выполни хотя бы одно действие в течение дня;none;Превращает помощь другим в ежедневную привычку, сажает семена успеха каждый день, развивает конкретность и последовательность в действиях.;daily_practice,partners,action,karma,morning
21;Наблюдение за питанием;daily;5;1;low;false;false;3;21;70;Каждый раз, когда ешь что-то с излишним сахаром, жиром или стимуляторами, записывай это в блокнот | Не суди себя, просто наблюдай | В конце дня посмотри на список | Само наблюдение начнёт менять привычки;none;Развивает осознанность в питании, запускает естественные изменения через наблюдение без насилия над собой, помогает увидеть паттерны.;awareness,nutrition,observation,mindfulness,habits
22;Упрощение жизни;daily;5;1;low;false;false;1;21;70;Записывай время перед компьютером за день | Считай, сколько новостей прочитал | Отмечай процент необходимых телефонных разговоров | Просто наблюдай цифры без попыток сразу всё изменить | Осознанность сама создаст изменения;none;Помогает увидеть, куда уходит время и энергия, развивает осознанность в использовании технологий, запускает естественное упрощение жизни.;simplicity,awareness,technology,observation,clarity
23;Вечерняя прогулка;daily;15;1;low;false;false;1;14;70;Выйди на прогулку вечером | Смотри на деревья и небо | Наблюдай звёзды, если видно | Думай о хорошем, что было сегодня | Расслабляйся и готовься ко сну | Дыши глубоко и спокойно;none;Интегрирует опыт дня, успокаивает нервную систему перед сном, помогает переключиться с дневных забот, улучшает качество сна.;evening,walking,integration,relaxation,nature
