title;category;content;source
Три основных принципа бизнеса;concept;Три базовых ориентира: бизнес должен быть успешным и честным, деньги должны приносить здоровье и радость, а вся деятельность в итоге должна ощущаться осмысленной и стоящей.;diamond-concepts.md
Центральные концепции;concept;Объяснение пустоты и ментальных отпечатков: вещи нейтральны сами по себе, а наше восприятие определяется семенами в уме, которые создаются действиями, словами и мыслями и растут как семена.;diamond-concepts.md
Четыре правила работы отпечатков;imprints;Четыре закона кармы: соответствие (действие ↔ результат), рост (отпечатки усиливаются), необходимость (ничего не происходит без причины) и неизбежность (каждый отпечаток созреет);diamond-concepts.md
Корреляции: Проблемы и решения;concept;Связь типичных проблем в бизнесе и жизни с их кармическими причинами и решениями, показывающая, что изменение отношения к другим людям меняет финансовые и жизненные результаты.;diamond-concepts.md
Семь качеств и их результаты;concept;Семь ключевых качеств (даяние, нравственность, терпение, усилие, сосредоточение, мудрость, сострадание) и то, какие результаты они приносят: богатство, спокойствие, свободу и т.п.;diamond-concepts.md
Практики и упражнения;practices;Набор прикладных практик Алмазного Огранщика: созерцание смерти, Недельный и Лесной Круг, обмен себя на других, превращение проблем в возможности и работа с гневом через поэтапные техники.;diamond-concepts.md
Бизнес-стратегии;concept;Применение кармических принципов к стратегиям: сила правды и понимания отпечатков, разрыв замкнутых кругов (korwa) и работа с рынками как с пустыми и зависящими от наших семян.;diamond-concepts.md
Экономика беспредельного;concept;Переход от модели ограниченных ресурсов к экономике, где богатство создаётся отпечатками: отдавая и обучая других, мы создаём новое богатство, не отнимая его у кого-то ещё.;diamond-concepts.md
Управленческие практики;practices;Кармический подход к управлению: формирование культуры личным примером, разрешение конфликтов через изменение собственных отпечатков и мотивация сотрудников через понимание их истинных желаний.;diamond-concepts.md
Важные концепции буддизма для бизнеса;concept;Ключевые буддийские идеи, полезные в бизнесе: мазал (сила слова и договорённости), непостоянство всего и сострадание как основа долгосрочного успеха и доверия.;diamond-concepts.md
Ключевые этапы применения учения;practices;Пошаговая программа внедрения: понимание, простые практики, углубление, мастерство и интеграция, с примерами конкретных действий на каждом этапе.;diamond-concepts.md
Цитаты-ориентиры;concept;Подборка ключевых фраз о богатстве, пустоте, отпечатках, жизни, даянии и ответственности, которые служат ментальными ориентирами для ежедневной практики.;diamond-concepts.md
Распространённые ошибки;concept;Типичные заблуждения в применении кармического менеджмента (ожидание быстрых результатов, узкая трактовка щедрости, желание «изменить других») и корректные установки вместо них.;diamond-concepts.md
Практический чеклист на день;practices;Структура дня практикующего: утреннее созерцание и намерение, дневные микро-практики (Жампа, работа с гневом, акты щедрости) и вечерний пересмотр посеянных отпечатков.;diamond-concepts.md
Итоговая формула успеха;concept;Компактная формула: понимание пустоты и отпечатков + щедрое намерение + действие с учётом механизма кармы → материальное и внутреннее благополучие, которое затем распространяется на других.;diamond-concepts.md
Контакты для углубления практики;concept;Указатели на организации и ресурсы (институт, ретритный центр, проект сохранения текстов), куда можно обратиться для более глубокого изучения и практики.;diamond-concepts.md
Напоминания;concept;Набор ключевых напоминаний: результаты требуют времени, понимание усиливает эффект, малые действия дают большие плоды, щедрость создаёт деньги, мир отражает наши отпечатки.;diamond-concepts.md
